iter	Passed	Remaining
455	897	1070
456	898	1068
457	900	1065
458	902	1063
459	904	1061
460	906	1059
461	907	1057
462	909	1055
463	911	1052
464	913	1050
465	914	1048
466	916	1046
467	918	1044
468	920	1042
469	922	1040
470	924	1037
471	925	1035
472	927	1033
473	929	1031
474	931	1029
475	933	1027
476	935	1025
477	936	1022
478	938	1020
479	940	1019
480	942	1016
481	944	1014
482	945	1012
483	947	1010
484	949	1008
485	951	1006
486	953	1004
487	955	1002
488	957	1000
489	959	998
490	961	996
491	963	994
492	965	992
493	967	990
494	969	988
495	971	986
496	973	985
497	976	984
498	978	982
499	980	980
500	982	978
501	984	976
502	986	975
503	989	973
504	991	971
505	993	969
506	995	967
507	996	965
508	999	963
509	1000	961
510	1003	959
511	1005	958
512	1007	956
513	1009	954
514	1010	952
515	1013	950
516	1015	948
517	1017	947
518	1019	945
519	1021	943
520	1023	941
521	1025	939
522	1027	937
523	1029	935
524	1031	933
525	1034	931
526	1036	929
527	1038	928
528	1040	926
529	1043	924
530	1045	923
531	1047	921
532	1049	919
533	1051	917
534	1054	916
535	1056	914
536	1059	913
537	1061	911
538	1063	909
539	1065	908
540	1068	906
541	1071	905
542	1073	903
543	1075	901
544	1077	899
545	1079	897
546	1081	895
547	1084	894
548	1086	892
549	1088	890
550	1090	888
551	1092	886
552	1094	884
553	1096	882
554	1099	881
555	1101	879
556	1103	878
557	1106	876
558	1108	874
559	1110	872
560	1112	870
561	1114	868
562	1116	866
563	1119	865
564	1120	862
565	1122	860
566	1124	858
567	1126	856
568	1128	854
569	1130	852
570	1132	850
571	1134	849
572	1136	847
573	1138	844
574	1140	842
575	1142	840
576	1144	838
577	1146	836
578	1148	834
579	1150	833
580	1153	831
581	1155	829
582	1158	828
583	1160	826
584	1163	825
585	1165	823
586	1167	821
587	1169	819
588	1171	817
589	1173	815
590	1175	813
591	1177	811
592	1179	809
593	1181	807
594	1183	805
595	1185	803
596	1186	801
597	1188	799
598	1190	797
599	1192	795
600	1195	793
601	1197	791
602	1198	789
603	1200	787
604	1202	785
605	1204	783
606	1207	781
607	1209	779
608	1211	777
609	1213	775
610	1215	773
611	1216	771
612	1218	769
613	1220	767
614	1222	765
615	1224	763
616	1226	761
617	1228	759
618	1230	757
619	1232	755
620	1234	753
621	1236	751
622	1239	749
623	1241	747
624	1243	746
625	1245	744
626	1247	742
627	1249	740
628	1251	738
629	1253	736
630	1255	734
631	1257	732
632	1259	730
633	1261	728
634	1263	726
635	1266	724
636	1268	722
637	1271	721
638	1273	719
639	1276	717
640	1278	715
641	1280	714
642	1282	712
643	1284	710
644	1286	708
645	1288	706
646	1290	704
647	1292	702
648	1294	700
649	1296	697
650	1298	695
651	1300	693
652	1301	691
653	1303	689
654	1305	687
655	1307	685
656	1309	683
657	1310	681
658	1312	679
659	1314	677
660	1316	675
661	1318	673
662	1320	671
663	1322	669
664	1324	667
665	1326	665
666	1328	663
667	1330	661
668	1332	659
669	1334	657
670	1336	655
671	1337	653
672	1339	651
673	1341	648
674	1343	646
675	1345	644
676	1347	642
677	1349	640
678	1351	638
679	1353	636
680	1354	634
681	1356	632
682	1358	630
683	1360	628
684	1361	626
685	1363	624
686	1365	622
687	1367	620
688	1368	617
689	1370	615
690	1372	613
691	1374	611
692	1376	609
693	1377	607
694	1379	605
695	1381	603
696	1383	601
697	1385	599
698	1387	597
699	1389	595
700	1391	593
701	1393	591
702	1395	589
703	1397	587
704	1399	585
705	1402	583
706	1404	582
707	1406	580
708	1409	578
709	1411	576
710	1413	574
711	1415	572
712	1417	570
713	1419	568
714	1421	566
715	1423	564
716	1426	562
717	1428	561
718	1430	559
719	1433	557
720	1435	555
721	1437	553
722	1440	551
723	1442	549
724	1444	548
725	1447	546
726	1448	544
727	1450	542
728	1452	539
729	1454	537
730	1456	536
731	1458	534
732	1460	532
733	1463	530
734	1465	528
735	1467	526
736	1468	524
737	1471	522
738	1473	520
739	1475	518
740	1477	516
741	1479	514
742	1481	512
743	1483	510
744	1485	508
745	1487	506
746	1490	504
747	1492	502
748	1494	500
749	1496	498
750	1498	496
751	1501	495
752	1503	493
753	1505	491
